"['顺义', '顺义城']",石园北区,439,33082.1,"['3室1厅2卫', '低楼层 (共16层)', '132.7㎡', '平层', '107.19㎡', '板楼', '南 北', '混合结构', '简装', '一梯两户', '集中供暖', '有', '70年']","['2019年10月11日\n                                                                    ', '商品房\n                                                                    ', '2014年09月30日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
34244元/㎡
",1996年建成,塔楼/板楼,79栋
�,14栋
﻿"['朝阳', '石佛营']",万科金阳,545,61868.5,"['2室1厅1卫', '高楼层 (共22层)', '88.09㎡', '平层', '板楼', '东南', '钢混结构', '精装', '两梯十二户', '集中供暖', '有', '70年']","['2019年12月18日\n                                                                    ', '商品房\n                                                                    ', '2016年09月03日\n                                                                    ', '普通住宅\n                                                                    ', '满两年\n                                                                    ', '共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
79213元/㎡
",2007年建成,塔楼/板楼,2栋

"['昌平', '鼓楼大街']",金隅万科城二期,363,42421.4,"['2室1厅1卫', '低楼层 (共28层)', '85.57㎡', '平层', '66.84㎡', '板塔结合', '东南', '钢混结构', '精装', '两梯三户', '集中供暖', '有', '70年']","['2019年01月16日\n                                                                    ', '商品房\n                                                                    ', '2013年02月22日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
43534元/㎡
",2008年建成,板楼/塔板结合/平房,11栋
"['房山', '长阳']",加州水郡四期,248,27759.1,"['2室1厅1卫', '低楼层 (共15层)', '89.34㎡', '平层', '75.26㎡', '塔楼', '东北', '钢混结构', '精装', '两梯六户', '自供暖', '有', '70年']","['2019年09月03日\n                                                                    ', '商品房\n                                                                    ', '2014年07月15日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
31658元/㎡
",2010年建成,塔楼/板楼/塔板结合,42栋
"['丰台', '六里桥']",京铁家园,420,50578,"['2室1厅1卫', '中楼层 (共22层)', '83.04㎡', '平层', '塔楼', '西', '钢混结构', '简装', '三梯十二户', '集中供暖', '有', '70年']","['2019年12月05日\n                                                                    ', '二类经济适用房\n                                                                    ', '2006年03月22日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
48148元/㎡
",2002年建成,塔楼/板楼,19栋
"['房山', '良乡']",聪慧里,165,28080.3,"['2室1厅1卫', '高楼层 (共6层)', '58.76㎡', '平层', '板楼', '南 北', '混合结构', '简装', '一梯两户', '集中供暖', '70年']","['2019年12月07日\n                                                                    ', '已购公房\n                                                                    ', '2017年04月27日\n                                                                    ', '普通住宅\n                                                                    ', '满两年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
30619元/㎡
",1992年建成,板楼,3栋
"['丰台', '马家堡']",丽水园,599,57673.8,"['2室2厅2卫', '低楼层 (共11层)', '103.86㎡', '平层', '91.6㎡', '板楼', '南 北', '钢混结构', '简装', '一梯三户', '集中供暖', '有', '70年']","['2019年07月20日\n                                                                    ', '商品房\n                                                                    ', '2007年12月26日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
64041元/㎡
",2004年建成,板楼,11栋
"['大兴', '枣园']",滨河东里,210,33876.4,"['2室1厅1卫', '中楼层 (共6层)', '61.99㎡', '平层', '板楼', '南 北', '混合结构', '简装', '一梯三户', '集中供暖', '70年']","['2019年09月23日\n                                                                    ', '商品房\n                                                                    ', '2014年03月05日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
38209元/㎡
",1984年建成,板楼,28栋
"['通州', '临河里']",新城乐居,325,40988.8,"['2室1厅1卫', '中楼层 (共26层)', '79.29㎡', '平层', '61.13㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯四户', '集中供暖', '有', '70年']","['2019年06月13日\n                                                                    ', '定向安置房\n                                                                    ', '2013年11月27日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
44329元/㎡
",2012年建成,塔板结合,9栋
"['西城', '宣武门']",椿树园,1085,94660.6,"['3室2厅1卫', '低楼层 (共14层)', '114.62㎡', '平层', '93.56㎡', '板塔结合', '东 西', '钢混结构', '精装', '一梯两户', '集中供暖', '有', '70年']","['2019年01月22日\n                                                                    ', '商品房\n                                                                    ', '2006年10月23日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
110277元/㎡
",1998年建成,塔楼/板楼/塔板结合,18栋
"['通州', '马驹桥']",东亚瑞晶苑,205,32483,"['1室1厅1卫', '高楼层 (共22层)', '63.11㎡', '平层', '47.5㎡', '板楼', '南', '钢混结构', '精装', '两梯四户', '集中供暖', '有', '70年']","['2019年08月29日\n                                                                    ', '限价商品房\n                                                                    ', '2012年09月25日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
32259元/㎡
",2009年建成,板楼/塔板结合,9栋
�
"['大兴', '瀛海']",德茂小区,288,34828.9,"['3室1厅1卫', '低楼层 (共6层)', '82.69㎡', '平层', '板楼', '南 西 北', '混合结构', '简装', '一梯两户', '集中供暖', '70年']","['2019年10月07日\n                                                                    ', '已购公房\n                                                                    ', '2006年08月17日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
37268元/㎡
",1985年建成,塔楼/板楼,30栋
"['通州', '通州北苑']",天时名苑,480,45291.6,"['2室2厅1卫', '高楼层 (共28层)', '105.98㎡', '平层', '83.88㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯四户', '集中供暖', '有', '70年']","['2019年11月07日\n                                                                    ', '商品房\n                                                                    ', '2011年07月12日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
48575元/㎡
",2007年建成,塔板结合,12栋
"['石景山', '苹果园']",西黄新村北里,389,43463.7,"['2室1厅1卫', '中楼层 (共24层)', '89.5㎡', '平层', '塔楼', '西北', '钢混结构', '精装', '三梯十户', '集中供暖', '有', '70年']","['2019年08月27日\n                                                                    ', '商品房\n                                                                    ', '2010年06月04日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
43672元/㎡
",1998年建成,塔楼/板楼/塔板结合,12栋
"['丰台', '角门']",角门东里,308,53846.2,"['2室1厅1卫', '低楼层 (共6层)', '57.2㎡', '平层', '57.2㎡', '板楼', '南 北', '混合结构', '简装', '一梯三户', '集中供暖', '70年']","['2019年10月31日\n                                                                    ', '商品房\n                                                                    ', '2019年10月30日\n                                                                    ', '普通住宅\n                                                                    ', '暂无数据\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
54159元/㎡
",1980年建成,塔楼/板楼,55栋
��/塔板结合,9栋
"['昌平', '霍营']",天鑫家园,385,44237.6,"['2室2厅1卫', '高楼层 (共6层)', '87.03㎡', '平层', '75.16㎡', '板楼', '南 北', '混合结构', '毛坯', '一梯两户', '集中供暖', '70年']","['2019年09月14日\n                                                                    ', '商品房\n                                                                    ', '2003年07月28日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
47613元/㎡
",2000年建成,塔楼/板楼/塔板结合,22栋
"['丰台', '七里庄']",泥洼路5号院,378,54015.4,"['2室1厅1卫', '高楼层 (共6层)', '69.98㎡', '平层', '板楼', '东 西', '混合结构', '精装', '一梯两户', '集中供暖', '70年']","['2019年03月24日\n                                                                    ', '已购公房\n                                                                    ', '2009年03月20日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
58153元/㎡
",1990年建成,板楼,8栋
"['海淀', '西三旗']",富力桃园C区,518,57844.8,"['2室2厅1卫', '低楼层 (共18层)', '89.55㎡', '平层', '72.52㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯四户', '集中供暖', '有', '70年']","['2019年12月18日\n                                                                    ', '商品房\n                                                                    ', '2010年11月12日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
60870元/㎡
",2008年建成,板楼/塔板结合,12栋
"['昌平', '西关环岛']",水屯家园,158,17303.7,"['2室1厅1卫', '地下室 (共4层)', '91.31㎡', '平层', '78.3㎡', '板楼', '南 北', '混合结构', '精装', '一梯一户', '集中供暖', '70年']","['2018年11月13日\n                                                                    ', '私产\n                                                                    ', '2005年07月04日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
27040元/㎡
",2001年建成,板楼,9栋
"['昌平', '南口']",新西广街,160,28238.6,"['2室1厅1卫', '高楼层 (共2层)', '56.66㎡', '平层', '南 北', '混合结构', '其他', '一梯一户', '暂无数据', '70年']","['2019年11月01日\n                                                                    ', '商品房\n                                                                    ', '2009年05月13日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
28480元/㎡
",1979年建成,板楼,15栋
"['朝阳', '朝阳其它']",绿丰家园,229,39306.6,"['1室1厅1卫', '高楼层 (共6层)', '58.26㎡', '平层', '51.86㎡', '板楼', '南 北', '混合结构', '简装', '一梯两户', '自供暖', '70年']","['2019年11月13日\n                                                                    ', '商品房\n                                                                    ', '2017年12月22日\n                                                                    ', '普通住宅\n                                                                    ', '满两年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
36876元/㎡
",2004年建成,板楼,35栋
"['大兴', '枣园']",兴城丽源,320,37784.9,"['2室2厅1卫', '高楼层 (共10层)', '84.69㎡', '平层', '69.39㎡', '板楼', '南 北', '钢混结构', '简装', '一梯两户', '集中供暖', '有', '70年']","['2019年10月02日\n                                                                    ', '商品房\n                                                                    ', '2019年07月19日\n                                                                    ', '普通住宅\n                                                                    ', '暂无数据\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
39928元/㎡
",2007年建成,板楼,21栋
"['顺义', '顺义城']",石园东苑,243,29291.2,"['2室1厅1卫', '高楼层 (共6层)', '82.96㎡', '平层', '板楼', '南 北', '混合结构', '简装', '一梯两户', '集中供暖', '70年']","['2019年10月03日\n                                                                    ', '商品房\n                                                                    ', '2005年04月11日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
34874元/㎡
",2001年建成,板楼,20栋
"['大兴', '天宫院南']",富力童话时光,310,30605.2,"['3室1厅2卫', '高楼层 (共9层)', '101.29㎡', '平层', '85.9㎡', '板楼', '南 北', '钢混结构', '精装', '一梯两户', '集中供暖', '有', '70年']","['2019年11月26日\n                                                                    ', '商品房\n                                                                    ', '2016年08月26日\n                                                                    ', '普通住宅\n                                                                    ', '满两年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
30706元/㎡
",2013年建成,塔楼/板楼/塔板结合,34栋
"['昌平', '南口']",南辛路7号院,172,25428.7,"['2室1厅1卫', '低楼层 (共6层)', '67.64㎡', '平层', '板楼', '南 北', '混合结构', '精装', '一梯两户', '集中供暖', '70年']","['2019年06月19日\n                                                                    ', '商品房\n                                                                    ', '2014年05月22日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
26274元/㎡
",1980年建成,板楼,4栋
"['朝阳', '石佛营']",石佛营东里小区,340,54028.3,"['2室1厅1卫', '中楼层 (共13层)', '62.93㎡', '平层', '板塔结合', '南', '钢混结构', '简装', '一梯两户', '集中供暖', '有', '70年']","['2019年04月26日\n                                                                    ', '已购公房\n                                                                    ', '2014年02月13日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
54503元/㎡
",1992年建成,塔楼/板楼/塔板结合/平房,18栋
"['朝阳', 'CBD']",光华欣居,500,44318.4,"['2室1厅1卫', '低楼层 (共15层)', '112.82㎡', '平层', '83.93㎡', '板塔结合', '南 北', '钢混结构', '精装', '两梯七户', '集中供暖', '有', '70年']","['2018年10月04日\n                                                                    ', '商品房\n                                                                    ', '2006年04月18日\n                                                                    ', '普通住宅\n                                                                    ', '满五年\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
55931元/㎡
",1986年建成,板楼/塔板结合,2栋
"['石景山', '八角']",八角南里,205,38818.4,"['2室1厅1卫', '低楼层 (共7层)', '52.81㎡', '平层', '板楼', '南 北', '混合结构', '其他', '一梯两户', '集中供暖', '70年']","['2019年04月05日\n                                                                    ', '已购公房\n                                                                    ', '2019年04月25日\n                                                                    ', '普通住宅\n                                                                    ', '暂无数据\n                                                                    ', '非共有\n                                                                    ', '已上传房本照片\n                                                                    ']","
48509元/㎡
",1985年建成,塔楼/板楼,26栋
